
All primitive solutions with B <= 7200^2

        1 =    1^2,        25 =    5^2,        49 =    7^2  with difference        24
     6241 =   79^2,    292681 =  541^2,    579121 =  761^2  with difference    286440
   261121 =  511^2,    297025 =  545^2,    332929 =  577^2  with difference     35904
   108241 =  329^2,    297025 =  545^2,    485809 =  697^2  with difference    188784
   134689 =  367^2,    310249 =  557^2,    485809 =  697^2  with difference    175560
    47089 =  217^2,    319225 =  565^2,    591361 =  769^2  with difference    272136
       49 =    7^2,    319225 =  565^2,    638401 =  799^2  with difference    319176
    83521 =  289^2,    323761 =  569^2,    564001 =  751^2  with difference    240240
   277729 =  527^2,    332929 =  577^2,    388129 =  623^2  with difference     55200
     9409 =   97^2,    351649 =  593^2,    693889 =  833^2  with difference    342240
    96721 =  311^2,    361201 =  601^2,    625681 =  791^2  with difference    264480
   332929 =  577^2,    375769 =  613^2,    418609 =  647^2  with difference     42840
   253009 =  503^2,    380689 =  617^2,    508369 =  713^2  with difference    127680
    36481 =  191^2,    390625 =  625^2,    744769 =  863^2  with difference    354144
   271441 =  521^2,    395641 =  629^2,    519841 =  721^2  with difference    124200
      961 =   31^2,    395641 =  629^2,    790321 =  889^2  with difference    394680
   167281 =  409^2,    410881 =  641^2,    654481 =  809^2  with difference    243600
    66049 =  257^2,    426409 =  653^2,    786769 =  887^2  with difference    360360
    83521 =  289^2,    436921 =  661^2,    790321 =  889^2  with difference    353400
    27889 =  167^2,    452929 =  673^2,    877969 =  937^2  with difference    425040
   388129 =  623^2,    458329 =  677^2,    528529 =  727^2  with difference     70200
   418609 =  647^2,    469225 =  685^2,    519841 =  721^2  with difference     50616
   261121 =  511^2,    469225 =  685^2,    677329 =  823^2  with difference    208104
   323761 =  569^2,    474721 =  689^2,    625681 =  791^2  with difference    150960
    25921 =  161^2,    474721 =  689^2,    923521 =  961^2  with difference    448800
   237169 =  487^2,    485809 =  697^2,    734449 =  857^2  with difference    248640
     5329 =   73^2,    485809 =  697^2,    966289 =  983^2  with difference    480480
   152881 =  391^2,    491401 =  701^2,    829921 =  911^2  with difference    338520
   160801 =  401^2,    502681 =  709^2,    844561 =  919^2  with difference    341880
    96721 =  311^2,    525625 =  725^2,    954529 =  977^2  with difference    428904
    69169 =  263^2,    525625 =  725^2,    982081 =  991^2  with difference    456456
   380689 =  617^2,    537289 =  733^2,    693889 =  833^2  with difference    156600
   247009 =  497^2,    555025 =  745^2,    863041 =  929^2  with difference    308016
    47089 =  217^2,    555025 =  745^2,   1062961 = 1031^2  with difference    507936
    16129 =  127^2,    573049 =  757^2,   1129969 = 1063^2  with difference    556920
   519841 =  721^2,    579121 =  761^2,    638401 =  799^2  with difference     59280
    14161 =  119^2,    591361 =  769^2,   1168561 = 1081^2  with difference    577200
   305809 =  553^2,    597529 =  773^2,    889249 =  943^2  with difference    291720
   528529 =  727^2,    616225 =  785^2,    703921 =  839^2  with difference     87696
   214369 =  463^2,    616225 =  785^2,   1018081 = 1009^2  with difference    401856
   368449 =  607^2,    628849 =  793^2,    889249 =  943^2  with difference    260400
    54289 =  233^2,    628849 =  793^2,   1203409 = 1097^2  with difference    574560
      289 =   17^2,    635209 =  797^2,   1270129 = 1127^2  with difference    634920
   229441 =  479^2,    654481 =  809^2,   1079521 = 1039^2  with difference    425040
    73441 =  271^2,    674041 =  821^2,   1274641 = 1129^2  with difference    600600
     7921 =   89^2,    687241 =  829^2,   1366561 = 1169^2  with difference    679320
   638401 =  799^2,    707281 =  841^2,    776161 =  881^2  with difference     68880
